Account,Biller,Date
5872184,3591.52,"2013,3,12"
4425416,3094.26,"2011,12,25"
21074,5248.48,"2012,8,31"
2309813,16814.31,"2013,7,22"
1558607,4490.25,"2013,3,21"
3844889,12358.18,"2017,1,2"
2959148,11257.29,"2015,4,7"
5944912,9225.79,"2014,1,2"
3727010,17123.23,"2015,11,1"
3300741,3312.27,"2012,9,11"
5412257,11820.68,"2019,4,10"
2780814,10569.72,"2011,9,27"
3972223,11746.60,"2014,11,10"
1454663,18160.15,"2018,2,6"
3221953,3654.89,"2018,5,15"
2994580,4816.20,"2017,5,12"
5372097,7743.93,"2018,9,14"
1170519,11082.91,"2014,8,12"
4000842,289.16,"2012,3,24"
4306268,5321.64,"2012,6,2"
5735407,4286.84,"2011,10,19"
2441266,18361.61,"2013,1,3"
229577,209.59,"2017,1,24"
1685535,18835.14,"2019,12,17"
4604890,3021.20,"2012,11,25"
6021320,10172.74,"2018,11,2"
1373987,6834.36,"2012,7,12"
4968033,10275.15,"2017,9,22"
1001070,9874.35,"2012,1,17"
4186125,18798.93,"2012,6,8"
6465913,15018.22,"2016,10,23"
3874979,9626.20,"2018,4,19"
295807,8667.35,"2016,10,22"
651752,7963.60,"2019,12,13"
1379366,6720.51,"2015,4,4"
100292,8820.61,"2019,7,15"
6249577,18310.79,"2012,11,8"
5872179,8620.66,"2013,2,17"
2396132,9070.56,"2019,12,18"
4291705,8191.30,"2011,1,27"
5654137,3568.79,"2019,12,9"
7076008,17325.87,"2014,5,6"
1470821,3627.47,"2015,10,8"
2945894,13086.26,"2011,1,6"
4296553,13989.64,"2011,11,26"
1752210,6042.57,"2015,8,26"
6001034,16900.95,"2019,9,9"
3844400,2665.80,"2016,11,6"
1104865,18953.48,"2013,11,17"
4979859,6958.79,"2014,6,12"
3243805,1554.73,"2018,12,5"
5486571,7192.92,"2013,5,5"
1704309,8213.93,"2018,7,17"
5058468,6569.84,"2011,7,23"
1360249,4174.63,"2014,5,18"
3737260,4968.82,"2013,2,27"
4985291,10751.22,"2015,9,24"
4083731,15402.77,"2013,11,9"
5842173,8783.81,"2015,5,25"
4112520,16962.98,"2017,3,10"
2187941,10781.47,"2019,6,20"
3936147,4513.84,"2015,11,27"
4107042,1631.31,"2017,10,12"
3117142,15476.49,"2016,6,21"
2118,1367.13,"2014,12,22"
4479252,4002.81,"2017,6,13"
1749711,13802.76,"2016,3,9"
5505720,10630.23,"2015,9,20"
2596333,4523.57,"2011,9,1"
4520365,8172.44,"2014,8,12"
4842820,9556.24,"2011,2,4"
3460593,14066.85,"2015,1,22"
6921751,7506.70,"2018,2,23"
4784855,1987.30,"2014,12,27"
2122790,9413.47,"2013,10,7"
586049,9084.41,"2014,12,18"
313532,1449.14,"2013,5,3"
2407251,2963.34,"2016,11,20"
5029327,7725.94,"2017,1,15"
6217067,932.41,"2017,7,23"
2268961,9382.11,"2018,1,24"
916981,5500.53,"2014,3,26"
1958827,16248.67,"2016,6,6"
2636553,7682.50,"2011,3,12"
4482331,3838.99,"2015,9,7"
825557,7462.87,"2016,11,10"
6233790,1391.91,"2013,11,16"
1279232,15648.48,"2018,8,20"
1712673,11575.72,"2019,8,7"
4474110,12652.59,"2012,6,27"
3515714,7610.84,"2018,6,6"
2769600,12871.63,"2019,8,13"
900902,4573.33,"2014,11,18"
323766,6502.18,"2017,5,25"
5827698,8987.55,"2013,8,14"
5626776,15149.48,"2011,8,19"
3621470,11937.97,"2019,3,19"
6821034,12955.76,"2015,4,10"
3372569,10790.85,"2013,2,3"
4837091,7009.16,"2012,5,24"
3281536,11737.11,"2013,8,20"
564320,12606.80,"2015,6,20"
6924238,9914.36,"2017,1,2"
2157414,10899.59,"2015,4,19"
4520410,2677.20,"2018,6,17"
1774905,12416.76,"2013,8,3"
370296,6092.41,"2015,12,3"
1603851,6404.30,"2014,3,11"
2617180,1794.97,"2018,1,28"
3316706,9283.26,"2017,11,24"
4186489,9567.38,"2012,10,13"
3931276,16929.99,"2019,12,3"
1596877,5104.14,"2018,5,16"
480448,7238.84,"2014,7,1"
